"ligand","receptor","pathway","sender","receiver","score_healing","score_nonhealing","delta"
"IL1B","IL1R1","IL1","Mast_cell","Melanocyte",0.0145602676102122,0,0.0145602676102122
"TGFB1","TGFBR1","TGFb","Macrophage","Pericyte",0.0521517368292123,0.0665802786202057,-0.0144285417909934
"IL6","IL6R","IL6","Keratinocyte","Macrophage",0.0144034066390952,0,0.0144034066390952
"HGF","MET","HGF","Melanocyte","Lymphatic_Endo",0.0143872915613389,0,0.0143872915613389
"IL6","IL6R","IL6","Myeloid","Fibroblast",0.0142375647707364,0,0.0142375647707364
"FGF2","FGFR1","FGF","Keratinocyte","Endothelial",0.0142000400279216,0,0.0142000400279216
"TGFB1","TGFBR1","TGFb","Mast_cell","Smooth_Muscle",0.038097510918028,0.0239037724147561,0.0141937385032719
"IL1B","IL1R1","IL1","Mast_cell","Myeloid",0.0140014210248888,0,0.0140014210248888
"TNF","TNFRSF1A","TNF","Keratinocyte","Keratinocyte",0.0279554793087326,0.0139745464761916,0.013980932832541
"IL6","IL6R","IL6","Myeloid","Mast_cell",0.0139378481118148,0,0.0139378481118148
"TNF","TNFRSF1A","TNF","Keratinocyte","Lymphatic_Endo",0.028072746091347,0.0141570350782087,0.0139157110131384
"IL6","IL6R","IL6","Macrophage","Keratinocyte",0.0138546844399842,0,0.0138546844399842
"VEGFA","KDR","VEGF","Pericyte","Endothelial",0.0782962010922907,0.0645368420930185,0.0137593589992722
"FGF2","FGFR1","FGF","Fibroblast","Myeloid",0,0.0136389611871605,-0.0136389611871605
"TGFB1","TGFBR1","TGFb","Smooth_Muscle","Lymphatic_Endo",0,0.0136317190825997,-0.0136317190825997
"FGF2","FGFR1","FGF","Endothelial","Myeloid",0,0.0135468970941129,-0.0135468970941129
"TGFB1","TGFBR1","TGFb","Mast_cell","Pericyte",0.0413606589415988,0.0278894233179062,0.0134712356236926
"IL6","IL6R","IL6","Mast_cell","T_cell",0,0.0134437720590442,-0.0134437720590442
"PDGFA","PDGFRA","PDGF","Melanocyte","Myeloid",0.0134199732679805,0,0.0134199732679805
"TGFB1","TGFBR1","TGFb","Melanocyte","Lymphatic_Endo",0.0133761332791744,0,0.0133761332791744
"IL6","IL6R","IL6","Melanocyte","T_cell",0.0133117760520073,0,0.0133117760520073
"FGF2","FGFR1","FGF","Smooth_Muscle","Keratinocyte",0.013163977805589,0,0.013163977805589
"PDGFA","PDGFRA","PDGF","Melanocyte","Lymphatic_Endo",0.0131131102257196,0,0.0131131102257196
"PDGFA","PDGFRA","PDGF","Smooth_Muscle","Mast_cell",0.0131032042466275,0,0.0131032042466275
"FGF2","FGFR1","FGF","Endothelial","Pericyte",0.0130134970625087,0,0.0130134970625087
